Entidad,Sexo,Puesto,minutos_app,total_encuestas,total_asist,Fecha
Guanajuato,Mujer,Enfermera/o,0.0,0,0,2024-07-22
Oaxaca,Mujer,Administrativa/o,0.0,0,1,2024-07-22
Campeche,Sin dato,Promotor/a en salud,507.5,7,9,2024-07-22
Oaxaca,Mujer,Enfermera/o,0.0,0,8,2024-07-22
Nuevo León,Mujer,Psicóloga/o,0.0,0,2,2024-07-22
Sonora,Mujer,"Coordinador/a, Responsable O Supervisión De Área",381.2,0,8,2024-07-22
Campeche,Mujer,Odontóloga/o,0.0,0,0,2024-07-22
Coahuila,Sin dato,Enfermera/o,0.0,7,1,2024-07-22
Coahuila,Mujer,Enfermera/o,2617.3,0,9,2024-07-22
Oaxaca,Mujer,Enfermera/o,646.2,0,9,2024-07-22
Sonora,Hombre,Enfermera/o,362.2,7,9,2024-07-22
Sonora,Mujer,Médica/o residente,0.0,0,9,2024-07-22
Sonora,Mujer,Pasante,1390.4,0,9,2024-07-22
Querétaro,Hombre,"Coordinador/a, responsable o supervisión de área",452.0,0,9,2024-07-22
Nuevo León,Hombre,Personal Directivo,300.0,0,1,2024-07-22
Oaxaca,Hombre,Psicóloga/o,568.9,0,9,2024-07-22
Sonora,Mujer,Psicóloga/o,0.0,0,0,2024-07-22
Coahuila,Hombre,"Coordinador/a, Responsable O Supervisión De Área",7.7,0,1,2024-07-22
Coahuila,Sin dato,Estudiante de medicina,688.3,0,9,2024-07-22
Oaxaca,Sin dato,Médica/o,662.9,7,9,2024-07-22
Campeche,Hombre,Enfermera/o,0.0,0,0,2024-07-22
Guanajuato,Mujer,Enfermera/o,300.0,0,9,2024-07-22
Coahuila,Sin dato,Enfermera/o,492.6,7,8,2024-07-22
Oaxaca,Hombre,Administrativa/o,51.7,0,6,2024-07-22
Campeche,Mujer,Administrativa/o,1162.8,0,9,2024-07-22
Campeche,Mujer,Odontóloga/o,177.7,0,8,2024-07-22
Nuevo León,Sin dato,Otro,0.0,7,2,2024-07-22
Colombia,Mujer,Enfermera/o,0.0,0,3,2024-07-22
Querétaro,Mujer,Pasante,29.8,0,1,2024-07-22
Nuevo León,Mujer,Personal Directivo,629.1,0,7,2024-07-22
Campeche,Mujer,Médica/o,1459.5,0,8,2024-07-22
Nuevo León,Sin dato,Promotor/a en salud,0.0,7,3,2024-07-22
Nuevo León,Sin dato,"Coordinador/a, responsable o supervisión de área",150.1,7,9,2024-07-22
Nuevo León,Sin dato,Personal directivo,132.0,7,9,2024-07-22
Nuevo León,Sin dato,Personal directivo,601.0,7,9,2024-07-22
Querétaro,Mujer,Enfermera/o,0.0,0,0,2024-07-22
Coahuila,Sin dato,Estudiante de medicina,0.0,0,0,2024-07-22
Nuevo León,Sin dato,Administrativa/o,532.3,6,9,2024-07-22
Coahuila,Hombre,Otro (Especifique),120.4,0,4,2024-07-22
Oaxaca,Hombre,Médica/o,0.0,0,1,2024-07-22
Campeche,Hombre,Enfermera/o,0.0,0,0,2024-07-22
Oaxaca,Mujer,Médica/o,988.2,0,9,2024-07-22
Campeche,Mujer,Odontóloga/o,0.0,6,0,2024-07-22
Oaxaca,Sin dato,Pasante,0.0,7,1,2024-07-22
Coahuila,Mujer,Enfermera/o,468.5,0,8,2024-07-22
Querétaro,Mujer,Pasante,6.8,0,1,2024-07-22
Sonora,Mujer,Estudiante de medicina,276.5,0,9,2024-07-22
Oaxaca,Mujer,Pasante,0.0,0,1,2024-07-22
Nuevo León,Sin dato,Psicóloga/o,342.0,7,8,2024-07-22
Querétaro,Mujer,Médica/o,0.0,0,0,2024-07-22
Sonora,Mujer,Administrativa/o,495.2,0,9,2024-07-22
Sonora,Mujer,Administrativa/o,378.8,0,9,2024-07-22
Guanajuato,Mujer,Enfermera/o,0.0,0,0,2024-07-22
Oaxaca,Mujer,Enfermera/o,311.4,0,9,2024-07-22
Jalisco,Hombre,Promotor/a En Salud,509.4,0,9,2024-07-22
Sonora,Sin dato,Enfermera/o,492.4,7,8,2024-07-22
Oaxaca,Mujer,Médica/o,639.8,0,9,2024-07-22
Sonora,Mujer,Estudiante de medicina,238.2,0,4,2024-07-22
Nuevo León,Mujer,Pasante,0.0,0,0,2024-07-22
Querétaro,Mujer,Otro (Especifique),17492.2,0,9,2024-07-22
Querétaro,Mujer,Enfermera/o,0.0,0,0,2024-07-22
Oaxaca,Sin dato,Enfermera/o,690.5,7,9,2024-07-22
Campeche,Sin dato,Sin dato,0.0,0,1,2024-07-22
Campeche,Mujer,Psicóloga/o,0.0,0,1,2024-07-22
Coahuila,Mujer,Sin dato,0.0,0,0,2024-07-22
Coahuila,Mujer,"Coordinador/a, Responsable O Supervisión De Área",327.2,0,9,2024-07-22
Querétaro,Mujer,Enfermera/o,579.5,0,9,2024-07-22
Querétaro,Mujer,Enfermera/o,0.0,0,1,2024-07-22
Sonora,Mujer,Interna/o,0.0,0,1,2024-07-22
Querétaro,Mujer,Enfermera/o,43.2,0,2,2024-07-22
Sonora,Mujer,Médica/o residente,37.9,0,8,2024-07-22
Sonora,Mujer,Psicóloga/o,0.0,0,0,2024-07-22
Oaxaca,Mujer,Administrativa/o,288.9,0,7,2024-07-22
Sonora,Sin dato,Nutrióloga/o,0.0,7,0,2024-07-22
Sonora,Mujer,Estudiante de medicina,0.0,0,2,2024-07-22
Oaxaca,Mujer,Enfermera/o,0.0,0,0,2024-07-22
Oaxaca,Mujer,Promotor/a En Salud,36.3,0,1,2024-07-22
Oaxaca,Mujer,Enfermera/o,474.9,0,9,2024-07-22
Campeche,Mujer,Médica/o,0.0,0,0,2024-07-22
Nuevo León,Mujer,Trabajador/a social,642.6,0,8,2024-07-22
Sonora,Sin dato,Administrativa/o,0.0,7,6,2024-07-22
Querétaro,Mujer,Enfermera/o,0.0,0,0,2024-07-22
Coahuila,Mujer,Técnica/o,614.0,0,9,2024-07-22
Sonora,Sin dato,Enfermera/o,51.6,7,1,2024-07-22
Campeche,Mujer,Pasante,0.0,0,0,2024-07-22
Nuevo León,Hombre,"Coordinador/a, responsable o supervisión de área",0.0,0,0,2024-07-22
Sonora,Mujer,Psicóloga/o,0.0,0,0,2024-07-22
Querétaro,Mujer,Administrativa/o,1324.1,0,9,2024-07-22
Sonora,Mujer,Química/o,606.9,0,9,2024-07-22
Oaxaca,Mujer,Médica/o,0.0,0,2,2024-07-22
Oaxaca,Mujer,Promotor/a En Salud,0.0,0,0,2024-07-22
Campeche,Sin dato,Personal directivo,581.7,7,9,2024-07-22
Campeche,Sin dato,Psicóloga/o,617.6,7,9,2024-07-22
Campeche,Hombre,Sin dato,0.0,0,0,2024-07-22
Querétaro,Mujer,Pasante,0.2,0,8,2024-07-22
Oaxaca,Hombre,Administrativa/o,522.1,0,9,2024-07-22
Nuevo León,Mujer,Médica/o,0.0,0,1,2024-07-22
Jalisco,Sin dato,Sin dato,0.0,0,1,2024-07-22
Oaxaca,Mujer,Administrativa/o,743.5,0,9,2024-07-22
Campeche,Sin dato,Enfermera/o,0.0,7,1,2024-07-22
Campeche,Mujer,Sin dato,0.0,0,1,2024-07-22
Sonora,Mujer,Administrativa/o,432.5,0,9,2024-07-22
Coahuila,Sin dato,Sin dato,0.0,0,1,2024-07-22
Querétaro,Sin dato,Enfermera/o,0.0,7,1,2024-07-22
Sonora,Mujer,Estudiante de medicina,1115.9,0,9,2024-07-22
Sonora,Mujer,Trabajador/a social,0.0,0,0,2024-07-22
Oaxaca,Sin dato,Sin dato,650.7,0,5,2024-07-22
Coahuila,Sin dato,Estudiante de medicina,4.1,0,2,2024-07-22
Oaxaca,Hombre,Odontóloga/o,673.1,0,9,2024-07-22
Sonora,Mujer,Pasante,0.0,0,0,2024-07-22
Oaxaca,Hombre,Promotor/a En Salud,235.5,0,6,2024-07-22
Oaxaca,Mujer,Enfermera/o,0.0,0,0,2024-07-22
Oaxaca,Sin dato,Médica/o residente,0.0,7,0,2024-07-22
Nuevo León,Sin dato,Médica/o,3.1,7,1,2024-07-22
Nuevo León,Mujer,Personal Directivo,703.3,0,9,2024-07-22
Nuevo León,Sin dato,Pasante,0.0,7,1,2024-07-22
Sonora,Sin dato,"Coordinador/a, responsable o supervisión de área",691.4,7,8,2024-07-22
Oaxaca,Mujer,"Coordinador/a, Responsable O Supervisión De Área",0.0,0,0,2024-07-22
Sonora,Mujer,Enfermera/o,0.0,0,6,2024-07-22
Campeche,Mujer,Administrativa/o,0.0,0,8,2024-07-22
Otro (Especifique),Hombre,Psicóloga/o,0.0,0,1,2024-07-22
Sonora,Sin dato,Enfermera/o,844.9,7,9,2024-07-22
Nuevo León,Sin dato,"Coordinador/a, responsable o supervisión de área",29.9,7,5,2024-07-22
Querétaro,Mujer,Enfermera/o,0.0,0,1,2024-07-22
Jalisco,Sin dato,Enfermera/o,519.4,7,9,2024-07-22
Querétaro,Mujer,Otro (Especifique),0.0,0,0,2024-07-22
Sonora,Mujer,Médica/o,1199.3,0,9,2024-07-22
Oaxaca,Mujer,Otro (Especifique),0.0,0,0,2024-07-22
Querétaro,Mujer,Médica/o,0.0,0,0,2024-07-22
Nuevo León,Sin dato,Médica/o,654.2,6,9,2024-07-29
Oaxaca,Mujer,Verificador/a sanitario,82.2,0,5,2024-07-29
Nuevo León,Mujer,Pasante,0.0,0,0,2024-07-29
Querétaro,Mujer,Pasante,81.4,0,6,2024-07-29
Querétaro,Mujer,Médica/o residente,0.0,0,0,2024-07-29
Querétaro,Mujer,Enfermera/o,784.3,0,8,2024-07-29
Guanajuato,Mujer,Enfermera/o,698.0,0,8,2024-07-29
Campeche,Mujer,Enfermera/o,0.0,0,0,2024-07-29
Sonora,Sin dato,Médica/o,646.3,7,9,2024-07-29
Oaxaca,Mujer,Sin dato,698.2,0,9,2024-07-29
Oaxaca,Hombre,Administrativa/o,1.5,0,1,2024-07-29
Querétaro,Mujer,Administrativa/o,0.0,0,0,2024-07-29
Oaxaca,Sin dato,Pasante,0.0,7,0,2024-07-29
Sonora,Hombre,Estudiante de medicina,852.0,0,8,2024-07-29
Sonora,Hombre,Estudiante de medicina,0.0,0,0,2024-07-29
Sonora,Hombre,Estudiante de medicina,311.8,0,8,2024-07-29
Sonora,Hombre,Estudiante de medicina,280.9,0,8,2024-07-29
Sonora,Mujer,Estudiante de medicina,503.6,0,9,2024-07-29
Sonora,Mujer,Estudiante de medicina,325.8,0,7,2024-07-29
Sonora,Mujer,Estudiante de medicina,643.9,0,4,2024-07-29
Sonora,Mujer,Otro (Especifique),0.0,0,6,2024-07-29
Sonora,Hombre,Estudiante de medicina,312.6,0,8,2024-07-29
Sonora,Mujer,Estudiante de medicina,481.4,0,7,2024-07-29
Sonora,Mujer,Sin dato,0.0,0,2,2024-07-29
Sonora,Mujer,Estudiante de medicina,598.0,0,8,2024-07-29
Sonora,Mujer,Otro (Especifique),883.9,0,8,2024-07-29
Sonora,Hombre,Estudiante de medicina,329.8,0,9,2024-07-29
Sonora,Hombre,Otro (Especifique),666.5,0,9,2024-07-29
Sonora,Hombre,Estudiante de medicina,368.1,0,6,2024-07-29
Sonora,Hombre,Estudiante de medicina,0.0,0,0,2024-07-29
Sonora,Mujer,Médico/a Residente,530.1,0,9,2024-07-29
Sonora,Hombre,Médico/a Residente,0.0,0,0,2024-07-29
Campeche,Hombre,Administrativa/o,580.3,0,9,2024-07-29
Sonora,Mujer,Odontóloga/o,20.4,0,1,2024-07-29
Guanajuato,Mujer,Médica/o,967.6,0,9,2024-07-29
Campeche,Sin dato,Médica/o,0.0,7,0,2024-07-29
Oaxaca,Sin dato,Enfermera/o,362.8,7,7,2024-07-29
Campeche,Mujer,Enfermera/o,656.1,7,9,2024-07-29
Oaxaca,Mujer,Odontóloga/o,0.0,0,4,2024-07-29
Sonora,Hombre,Estudiante de medicina,811.1,0,8,2024-07-29
Sonora,Hombre,Psicóloga/o,498.7,0,9,2024-07-29
Nuevo León,Sin dato,Trabajador/a social,1280.8,7,9,2024-07-29
Guanajuato,Hombre,Técnica/o,0.0,0,0,2024-07-29
Sonora,Mujer,Médica/o residente,0.0,0,0,2024-07-29
Coahuila,Mujer,Trabajador/a social,504.6,0,9,2024-07-29
Campeche,Sin dato,Sin dato,0.0,0,1,2024-07-29
Coahuila,Hombre,Promotor/a En Salud,300.0,0,9,2024-07-29
Campeche,Mujer,Administrativa/o,50.0,0,9,2024-07-29
Oaxaca,Mujer,"Coordinador/a, Responsable O Supervisión De Área",435.7,0,9,2024-07-29
Campeche,Mujer,Psicóloga/o,0.0,0,1,2024-07-29
Oaxaca,Mujer,Enfermera/o,641.9,0,5,2024-07-29
Coahuila,Mujer,Enfermera/o,691.3,0,9,2024-07-29
Nuevo León,Sin dato,Médica/o,1047.4,7,9,2024-07-29
Nuevo León,Mujer,Médica/o,0.0,0,0,2024-07-29
Coahuila,Mujer,Pasante,0.0,0,0,2024-07-29
Nuevo León,Sin dato,"Coordinador/a, responsable o supervisión de área",0.0,7,1,2024-07-29
Sonora,Mujer,Otro (Especifique),497.4,0,8,2024-07-29
Querétaro,Mujer,Médica/o,993.8,0,9,2024-07-29
Sonora,Hombre,Otro (Especifique),300.0,0,9,2024-07-29
Sonora,Hombre,Administrativa/o,0.0,0,1,2024-07-29
Sonora,Mujer,Enfermera/o,29.8,0,2,2024-07-29
Oaxaca,Sin dato,Pasante,0.0,6,0,2024-07-29
Oaxaca,Mujer,Médica/o,659.1,0,9,2024-07-29
Campeche,Mujer,Enfermera/o,11.8,0,0,2024-07-29
Campeche,Mujer,Administrativa/o,0.1,7,1,2024-07-29
Sonora,Mujer,Pasante,9.4,0,0,2024-07-29
Campeche,Mujer,Enfermera/o,0.0,0,8,2024-07-29
Oaxaca,Mujer,Administrativa/o,229.2,0,8,2024-07-29
Oaxaca,Mujer,Médica/o,805.2,0,9,2024-07-29
Sonora,Mujer,Psicóloga/o,16.2,0,1,2024-07-29
Nuevo León,Sin dato,"Coordinador/a, responsable o supervisión de área",487.2,7,9,2024-07-29
Coahuila,Sin dato,Enfermera/o,11.7,5,2,2024-07-29
Querétaro,Mujer,Química/o,0.0,0,0,2024-07-29
Nuevo León,Sin dato,Sin dato,0.0,0,8,2024-07-29
Sonora,Mujer,Estudiante de medicina,109.4,0,3,2024-07-29
Jalisco,Hombre,Médica/o,682.8,0,9,2024-07-29
Coahuila,Hombre,Enfermera/o,0.0,0,2,2024-07-29
Querétaro,Mujer,Administrativa/o,0.0,0,1,2024-07-29
Nuevo León,Mujer,Administrativa/o,487.7,7,9,2024-07-29
Querétaro,Mujer,Médica/o,0.0,0,0,2024-07-29
Nuevo León,Mujer,Otro (Especifique),0.0,0,1,2024-07-29
Sonora,Mujer,Psicóloga/o,0.0,0,0,2024-07-29
Oaxaca,Mujer,"Coordinador/a, Responsable O Supervisión De Área",81.5,0,3,2024-07-29
Oaxaca,Mujer,Enfermera/o,0.0,0,0,2024-07-29
Campeche,Hombre,Técnica/o,635.4,0,9,2024-07-29
Campeche,Mujer,"Coordinador/a, Responsable O Supervisión De Área",782.8,0,9,2024-07-29
Nuevo León,Sin dato,Otro,521.0,7,9,2024-07-29
Sonora,Hombre,Administrativa/o,0.0,0,3,2024-07-29
Querétaro,Sin dato,Pasante,698.9,7,9,2024-07-29
Querétaro,Mujer,Médica/o residente,0.0,0,0,2024-07-29
Sonora,Mujer,Enfermera/o,1.3,0,0,2024-07-29
Nuevo León,Mujer,Médica/o,4.9,0,2,2024-07-29
Querétaro,Sin dato,Médica/o,0.0,7,1,2024-07-29
Coahuila,Mujer,Administrativa/o,0.0,0,0,2024-07-29
Sonora,Mujer,Estudiante de medicina,0.0,0,0,2024-07-29
Nuevo León,Mujer,Médica/o residente,0.0,0,0,2024-07-29
Sonora,Mujer,Trabajador/a social,0.0,0,0,2024-07-29
Sonora,Mujer,Enfermera/o,0.0,0,0,2024-07-29
Querétaro,Mujer,Enfermera/o,375.4,0,8,2024-07-29
Oaxaca,Hombre,Médica/o residente,0.0,0,0,2024-07-29
Campeche,Sin dato,Administrativa/o,0.0,7,0,2024-07-29
Nuevo León,Mujer,Enfermera/o,0.0,0,0,2024-07-29
Sonora,Sin dato,Otro,0.0,7,1,2024-07-29
Oaxaca,Mujer,Enfermera/o,0.0,6,9,2024-07-29
Querétaro,Sin dato,Administrativa/o,0.0,7,0,2024-07-29
Sonora,Mujer,Psicóloga/o,581.4,0,9,2024-07-29
Coahuila,Mujer,Enfermera/o,0.0,0,1,2024-07-29
Querétaro,Mujer,Pasante,0.0,0,0,2024-07-29
Coahuila,Mujer,Psicóloga/o,485.1,0,9,2024-07-29
Oaxaca,Mujer,Pasante,0.0,0,0,2024-07-29
Oaxaca,Mujer,"Coordinador/a, Responsable O Supervisión De Área",0.0,0,1,2024-07-29
Oaxaca,Mujer,Médica/o,632.3,0,9,2024-07-29
Guanajuato,Mujer,Médica/o residente,0.0,0,2,2024-07-29
Campeche,Mujer,Promotor/a En Salud,0.0,7,2,2024-07-29
Sonora,Mujer,Pasante,638.7,0,9,2024-07-29
Sonora,Mujer,Médica/o residente,0.0,0,1,2024-07-29
Oaxaca,Mujer,Sin dato,746.8,0,9,2024-07-29
Campeche,Sin dato,Personal directivo,670.2,7,9,2024-07-29
Campeche,Mujer,Pasante,0.0,0,0,2024-07-29
Campeche,Sin dato,Pasante,515.5,7,9,2024-07-29
Campeche,Mujer,Pasante,1.1,0,3,2024-07-29
Campeche,Mujer,Pasante,920.0,0,8,2024-07-29
Campeche,Hombre,Interna/o,0.0,0,0,2024-07-29
Campeche,Mujer,Pasante,423.2,0,8,2024-07-29
Campeche,Sin dato,Pasante,0.0,7,0,2024-07-29
Campeche,Hombre,Médica/o,0.0,0,0,2024-07-29
Campeche,Hombre,Interna/o,0.0,0,0,2024-07-29
Campeche,Hombre,Enfermera/o,0.0,0,0,2024-07-29
Nuevo León,Hombre,"Coordinador/a, Responsable O Supervisión De Área",0.0,0,1,2024-07-29
Querétaro,Hombre,Médica/o residente,0.0,0,0,2024-07-29
Sonora,Hombre,Estudiante de medicina,858.4,0,9,2024-07-29
Sonora,Hombre,Otro (Especifique),51.0,0,7,2024-07-29
Sonora,Hombre,Médica/o,0.0,7,0,2024-07-29
Coahuila,Mujer,Enfermera/o,0.0,0,2,2024-07-29
Ciudad de México,Mujer,Psicóloga/o,0.0,0,4,2024-07-29
Oaxaca,Mujer,"Coordinador/a, Responsable O Supervisión De Área",640.2,0,9,2024-07-29
Campeche,Sin dato,Enfermera/o,0.0,7,2,2024-07-29
Nuevo León,Sin dato,Médica/o,300.0,7,9,2024-07-29
Coahuila,Sin dato,Sin dato,1.0,0,4,2024-07-29
Sonora,Sin dato,Psicóloga/o,0.0,7,0,2024-07-29
Sonora,Hombre,Médica/o residente,0.0,0,0,2024-07-29
Sonora,Mujer,Administrativa/o,0.0,0,0,2024-07-29
Oaxaca,Hombre,Psicóloga/o,759.7,0,9,2024-07-29
Nuevo León,Sin dato,Promotor/a en salud,624.0,7,8,2024-07-29
Querétaro,Hombre,Médica/o,5.2,0,9,2024-07-29
Coahuila,Sin dato,Sin dato,441.7,0,8,2024-07-29
Nuevo León,Sin dato,Médica/o,780.9,7,8,2024-07-29
Coahuila,Mujer,Nutrióloga/o,522.1,0,9,2024-07-29
Nuevo León,Sin dato,Sin dato,35.1,0,7,2024-07-29
Coahuila,Sin dato,Sin dato,0.0,0,1,2024-07-29
Nuevo León,Mujer,Pasante,0.0,0,1,2024-07-29
Estado De México,Sin dato,Sin dato,0.0,0,1,2024-07-29
Jalisco,Sin dato,Sin dato,300.0,0,9,2024-07-29
Coahuila,Mujer,Interna/o,0.0,0,0,2024-07-29
AtentaMente,Mujer,Administrativa/o,647.4,0,9,2024-07-29
Coahuila,Mujer,Psicóloga/o,843.4,0,9,2024-07-29
Jalisco,Sin dato,Sin dato,0.0,0,1,2024-07-29
Ciudad De México,Mujer,"Coordinador/a, Responsable O Supervisión De Área",1014.1,0,9,2024-07-29
Nuevo León,Mujer,"Coordinador/a, Responsable O Supervisión De Área",42.7,0,1,2024-07-29
Sonora,Mujer,Médica/o residente,0.0,0,0,2024-07-29
Querétaro,Mujer,Médica/o residente,0.0,0,0,2024-07-29
Querétaro,Mujer,Médica/o residente,0.0,0,1,2024-07-29
Campeche,Mujer,Enfermera/o,0.0,0,0,2024-07-29
Sonora,Mujer,Médica/o residente,880.0,0,9,2024-07-29
Nuevo León,Hombre,Personal Directivo,0.0,0,0,2024-07-29
Nuevo León,Hombre,Personal Directivo,0.0,0,0,2024-07-29
Sonora,Hombre,Docente,650.3,0,9,2024-07-29
Sonora,Sin dato,"Coordinador/a, responsable o supervisión de área",11.8,7,8,2024-07-29
Sonora,Hombre,Médica/o,1181.3,0,9,2024-07-29
Sonora,Hombre,Médica/o residente,0.0,0,0,2024-07-29
Campeche,Hombre,Pasante,0.0,0,0,2024-07-29
Coahuila,Mujer,Psicóloga/o,0.0,0,0,2024-07-29
Querétaro,Mujer,Médica/o,0.0,0,0,2024-07-29
Coahuila,Mujer,"Coordinador/a, responsable o supervisión de área",57.0,0,2,2024-07-29
Querétaro,Mujer,Médica/o residente,0.0,0,0,2024-07-29
Campeche,Mujer,Psicóloga/o,0.0,7,0,2024-07-29
Coahuila,Mujer,Enfermera/o,1087.4,0,9,2024-07-29
Sonora,Sin dato,Médica/o,1180.6,7,9,2024-07-29
Coahuila,Mujer,Estudiante de medicina,42.0,0,8,2024-07-29
Coahuila,Sin dato,Sin dato,456.2,0,7,2024-07-29
Sonora,Mujer,Pasante,26.2,0,1,2024-07-29
Sonora,Mujer,Interna/o,526.8,0,8,2024-07-29
Coahuila,Hombre,Pasante,0.0,0,0,2024-07-29
Querétaro,Hombre,Médica/o residente,0.0,0,0,2024-07-29
Sonora,Mujer,Interna/o,0.0,0,0,2024-07-29
Coahuila,Hombre,Enfermera/o,718.9,0,9,2024-07-29
Oaxaca,Hombre,Enfermera/o,0.0,0,0,2024-07-29
Oaxaca,Mujer,Pasante,400.0,0,9,2024-07-29
Oaxaca,Mujer,Psicóloga/o,0.0,0,3,2024-07-29
Oaxaca,Mujer,Enfermera/o,0.0,0,0,2024-07-29
Sonora,Mujer,Sin dato,0.0,0,0,2024-07-29
Coahuila,Mujer,Psicóloga/o,1286.6,0,9,2024-07-29
Querétaro,Mujer,Psicóloga/o,0.0,0,0,2024-07-29
Querétaro,Mujer,Enfermera/o,0.0,0,0,2024-07-29
Querétaro,Sin dato,Médica/o,654.7,7,9,2024-07-29
Oaxaca,Mujer,Médica/o,0.0,0,7,2024-07-29
Nuevo León,Sin dato,Administrativa/o,681.8,7,9,2024-07-29
Coahuila,Mujer,Sin dato,0.0,0,0,2024-07-29
Nuevo León,Sin dato,Médica/o,121.7,6,4,2024-07-29
Querétaro,Mujer,Médica/o,0.0,0,5,2024-07-29
Sonora,Mujer,Otro (Especifique),845.0,0,8,2024-07-29
Querétaro,Sin dato,Médica/o,461.7,7,8,2024-07-29
Sonora,Sin dato,Sin dato,11.7,0,6,2024-07-29
Nuevo León,Sin dato,"Coordinador/a, responsable o supervisión de área",821.2,7,9,2024-07-29
Nuevo León,Mujer,Enfermera/o,0.0,0,0,2024-07-29
Campeche,Sin dato,Enfermera/o,652.2,7,9,2024-07-29
Nuevo León,Mujer,Enfermera/o,0.0,0,1,2024-07-29
Coahuila,Mujer,Médica/o,151.0,0,9,2024-07-29
Nuevo León,Mujer,Pasante,0.0,0,2,2024-07-29
AtentaMente,Mujer,Otro (Especifique),0.0,0,0,2024-07-29
Sonora,Mujer,Médica/o residente,0.0,0,2,2024-07-29
Coahuila,Mujer,Interna/o,502.6,0,4,2024-07-29
Nuevo León,Hombre,Psicóloga/o,375.7,0,8,2024-07-29
Querétaro,Mujer,Enfermera/o,0.0,0,0,2024-07-29
Oaxaca,Mujer,"Coordinador/a, Responsable O Supervisión De Área",682.4,0,9,2024-07-29
Sonora,Mujer,Médica/o,0.0,0,0,2024-07-29
Guanajuato,Hombre,Otro (Especifique),0.0,0,0,2024-07-29
Oaxaca,Mujer,Pasante,0.0,0,0,2024-07-29
Oaxaca,Mujer,Pasante,26.9,0,6,2024-07-29
Oaxaca,Mujer,Enfermera/o,782.0,0,9,2024-07-29
Querétaro,Mujer,Enfermera/o,175.2,0,5,2024-07-29
Coahuila,Sin dato,Estudiante de medicina,0.0,0,1,2024-07-29
Sonora,Hombre,Enfermera/o,0.0,0,1,2024-07-29
Nuevo León,Mujer,Enfermera/o,2.5,0,7,2024-07-29
Sonora,Mujer,Administrativa/o,0.0,0,0,2024-07-29
Sonora,Mujer,Médica/o residente,120.0,0,9,2024-07-29
AtentaMente,Mujer,Otro (Especifique),655.3,0,9,2024-07-29
Oaxaca,Mujer,Pasante,68.9,0,6,2024-07-29
Coahuila,Mujer,"Coordinador/a, Responsable O Supervisión De Área",300.0,0,9,2024-07-29
Querétaro,Sin dato,Odontóloga/o,34.3,6,6,2024-07-29
Coahuila,Mujer,Pasante,0.0,0,0,2024-07-29
Querétaro,Mujer,Administrativa/o,0.0,0,2,2024-07-29
Querétaro,Mujer,Otro (Especifique),649.7,0,9,2024-07-29
Querétaro,Mujer,Química/o,648.5,0,9,2024-07-29
Coahuila,Mujer,Administrativa/o,612.9,0,9,2024-07-29
Nuevo León,Mujer,Nutrióloga/o,31.8,0,8,2024-07-29
Coahuila,Mujer,Administrativa/o,452.6,0,9,2024-07-29
Sonora,Mujer,Psicóloga/o,0.0,0,1,2024-07-29
Sonora,Mujer,Estudiante de medicina,682.2,0,8,2024-07-29
Jalisco,Mujer,"Coordinador/a, Responsable O Supervisión De Área",808.6,0,9,2024-07-29
Nuevo León,Mujer,Médica/o,0.0,0,0,2024-07-29
Coahuila,Mujer,Personal Directivo,0.0,0,0,2024-07-29
Oaxaca,Mujer,Administrativa/o,47.9,0,7,2024-07-29
Coahuila,Sin dato,Sin dato,240.6,0,2,2024-07-29
Coahuila,Sin dato,Sin dato,127.1,0,3,2024-07-29
Campeche,Mujer,Personal Directivo,0.0,5,5,2024-07-29
Campeche,Sin dato,Enfermera/o,0.0,5,3,2024-07-29
Campeche,Mujer,Personal Directivo,0.0,0,0,2024-07-29
Coahuila,Sin dato,Estudiante de medicina,217.6,0,5,2024-07-29
Sonora,Mujer,Estudiante de medicina,419.3,0,9,2024-07-29
Querétaro,Mujer,Enfermera/o,0.0,0,1,2024-07-29
Sonora,Mujer,Médica/o residente,349.0,0,9,2024-07-29
Oaxaca,Mujer,Otro (Especifique),397.4,0,9,2024-07-29
Nuevo León,Sin dato,Médica/o,1365.0,7,9,2024-07-29
Sonora,Mujer,Enfermera/o,173.1,0,9,2024-07-29
Jalisco,Mujer,Química/o,563.8,0,9,2024-07-29
Coahuila,Mujer,Enfermera/o,68.7,0,1,2024-07-29
Coahuila,Sin dato,Sin dato,24.8,0,6,2024-07-29
Querétaro,Mujer,Enfermera/o,1.3,0,3,2024-07-29
Sonora,Mujer,Enfermera/o,0.0,0,1,2024-07-29
Campeche,Mujer,Otro (Especifique),1044.4,0,9,2024-07-29
Sonora,Mujer,Estudiante de medicina,279.5,0,8,2024-07-29
Jalisco,Sin dato,Administrativa/o,11.7,7,1,2024-07-29
Jalisco,Mujer,Estudiante de medicina,626.4,0,8,2024-07-29
Querétaro,Mujer,Médica/o,14.9,0,3,2024-07-29
Querétaro,Mujer,Odontóloga/o,483.2,0,8,2024-07-29
Sonora,Mujer,Estudiante de medicina,689.7,0,9,2024-07-29
Sonora,Mujer,Estudiante de medicina,0.0,0,0,2024-07-29
Oaxaca,Mujer,Médica/o,0.0,0,6,2024-07-29
Coahuila,Sin dato,Sin dato,646.3,0,8,2024-07-29
Querétaro,Hombre,Pasante,0.0,0,0,2024-07-29
Coahuila,Sin dato,Sin dato,0.0,0,1,2024-07-29
Querétaro,Sin dato,Sin dato,0.0,0,0,2024-07-29
